,제목,가수,가사
10,듣고 싶을까,MSG워너비(M.O.M),"['우리 함께 듣던 그 노랠 듣고 싶을까', '듣고 나서 잠시 날 생각은 할까', '아주 혹시라도 넌 내가 보고 싶을까', '난 왜 니 목소리가 듣고 싶을까', '뻔하디 뻔한 노랫말 여서 미안해', '미안해도 부디 넌 꼭 들어줬음 해', '후회도 미련도 없는 척 떠났지만', '이게 내 진심인 걸 꼭 알아줬음 해', '우리 함께 듣던 그 노랠 듣고 싶을까', '듣고 나서 잠시 날 생각은 할까', '아주 혹시라도 넌 내가 보고 싶을까', '못난 내 목소리가 듣고 싶을까', '말없이 다 전해지는 건 없지 난 말해 지금', '몇 년째 나의 favorite one', 'You the only one yeah', 'Yes I know 무엇도 달라질 건 없지만', '이게 내 진심인 걸 꼭 알아줬음 해', '우리 함께 듣던 그 노랠 듣고 싶을까', '듣고 나서 잠시 날 생각은 할까', '아주 혹시라도 넌 내가 보고 싶을까', '난 왜 니 목소리가 듣고 싶을까', 'Are you okay not today', '천천히 대답해도 돼 i just stay', '넌 내 목소리가 듣고 싶을까', '누굴 만나 봐도 다시는 못할 것 같아', '그립고 또 그립다 우리 그 사랑', 'Woo', 'I’m missing U', 'Never forget U', 'Never forget U', 'Oh no baby']"
11,너의 모든 순간,성시경,"['이윽고 내가 한눈에', '너를 알아봤을 때', '모든 건 분명 달라지고 있었어', '내 세상은 널 알기 전과 후로 나뉘어', '니가 숨 쉬면 따스한 바람이 불어와', '니가 웃으면 눈부신 햇살이 비춰', '거기 있어줘서 그게 너라서', '가끔 내 어깨에 가만히 기대주어서', '나는 있잖아 정말 빈틈없이 행복해', '너를 따라서 시간은 흐르고 멈춰', '물끄러미 너를 들여다 보곤 해', '그것 말고는 아무것도 할 수 없어서', '너의 모든 순간 그게', '나였으면 좋겠다', '생각만 해도 가슴이 차올라', '나는 온통 너로', '보고 있으면 왠지 꿈처럼 아득한 것', '몇 광년 동안 날 향해 날아온 별빛', '또 지금의 너', '거기 있어줘서 그게 너라서', '가끔 나에게 조용하게 안겨주어서', '나는 있잖아 정말 남김없이 고마워', '너를 따라서 시간은 흐르고 멈춰', '물끄러미 너를 들여다보곤 해', '너를 보는 게 나에게는 사랑이니까', '너의 모든 순간 그게', '나였으면 좋겠다', '생각만 해도 가슴이 차올라', '나는 온통 너로', '니 모든 순간 나였으면']"
12,다시 만날 수 있을까,임영웅,"['너를 위해 해 줄 것이 하나 없어서', '보낼 수밖에 없었고', '네가 없이 사는 법을 알지 못해서', '순간순간을 울었다', '후회로 가득한 한숨 자락이', '시린 바람처럼', '가슴 치는 날 그 언젠가', '우리 만날 수 있을까', '다시 만날 수 있을까', '그리 좋던 예전처럼 그때처럼', '되돌아갈 수 있을까', '다시 우리가 만나면', '무엇을 해야만 할까', '서로를 품에 안고서', '하염없이 눈물만 흘려볼까', '붙잡을 마음이야 없었겠냐마는', '그때 난 부끄러웠다', '떳떳하게 일어나 널 다시 찾아갈', '뜨거운 꿈만 꾸었다', '둘이 함께 했던 순간순간이', '시린 폭포처럼', '쏟아지는 날 그 언젠가', '우리 만날 수 있을까', '다시 만날 수 있을까', '그리 좋던 예전처럼 그때처럼', '되돌아갈 수 있을까', '다시 우리가 만나면', '무엇을 해야만 할까', '서로를 품에 안고서', '하염없이 눈물만 흘려볼까', '그리운 마음이 서럽게 흘러넘쳐', '너에게 닿을 때', '우리 만날 수 있을까', '다시 만날 수 있을까', '그리 좋던 예전처럼 그때처럼', '되돌아갈 수 있을까', '다시 우리가 만나면', '무엇을 해야만 할까', '서로를 품에 안고서', '하염없이 눈물만 흘려볼까']"
13,해요 (2022),#안녕,"['그녀와 나는요 그땐 참 어렸어요', '많이 사랑했고 때론 많이 다퉜었죠', '지금 생각하면 모두 내 잘못이죠', '마지막 그날도 그녀는 울었어', '나는 그녈 잡지 못했죠', '지금까지도 너무 후회가 돼요', '그 후로 누굴 사랑한 적 없어 아직은', '그녀와 나는요', '언젠가 만날 거죠', '변해버린 모습 변해버린 시간 속에', '하지만 괜찮아 내 눈엔 아름답던', '예전 모습 그대로 일 거예요', '그녀도 날 못 잊을 거야 나는 믿어요', '그만큼 사랑했죠', '그래서 우린 한 번은 만나야만 해요', '그녀의 친구라도 이 노랠 듣는다면', '그녀에게 전해줘요', '내가 아직 사랑한다고', '우리가 처음 만난 그 시간 그 자리에', '내가 매일 기다린다고', '언제라도', '그녀도 날 못 잊을 거야 나는 믿어요', '그만큼 사랑했죠', '그래서 우린 한 번은 만나야만 해요', '그녀의 친구라도 이 노랠 듣는다면', '그녀에게 전해줘요', '내가 아직 사랑한다고', '우리가 처음 만난 그 시간 그 자리에', '내가 매일 기다린다고', '그녀의 친구라도 이 노랠 듣는다면', '그녀에게 전해줘요', '내가 아직 사랑한다고', '우리가 처음 만난 그 시간 그 자리에', '내가 매일 기다린다고', '내가 매일 기다린다고']"
14,팡파레,다비치,"['코끝을 간지럽히는 살랑 부는 바람이', '눈 감으면 어디든', '네 곁에 데려가 주길', '어느새 내 맘이 춤을 추네', '한없이 예쁜 날이야', '꿈꾸던 시간이', '마치 오늘인 것만 같아', '맘이 두근거리다 심장이 쿵 떨어져', '후 살며시 네가 불어와', '눈부신 하늘이 되어 다 물들어가요', '유난히 달콤한 햇살 팡파레를 울려요', '한껏 들뜬 발걸음으로 반겨줘요', '따스한 그대의 품속으로', '바쁘게 달려가 힘껏 안겨볼래요', '시작될 거야 너와 내 이야기', '샤라랄 라라랄 라라랄 꽃눈이 내려요', '옷장 가득히 싱그러운 설렘이 하나둘', '아껴 둔 마음 꺼내 입고서', '널 만나러 가요', '살며시 네가 불어와', '눈부신 하늘이 되어 다 물들어가요', '유난히 달콤한 햇살 팡파레를 울려요', '한껏 들뜬 발걸음으로 반겨줘요', '따스한 그대의 품속으로', '바쁘게 달려가 힘껏 안겨볼래요', '시작될 거야 너와 내 이야기', '때론 빗방울 떨어져', '잠시 우리 옷깃을 적셔', '찡그린 날도 있겠지만', '상상만 해도 찬란한 꿈을 꾸는 거야', '하늘에 꽃눈이 내려 여기저기 날려요', '머리가 어지러울 만큼 행복해요', '웅크렸던 만큼', '소중히 내가 지켜 갈게요', '그대와 함께하는 사랑스런 날이야', '유난히 달콤한 햇살 팡파레를 울려요', '한껏 들뜬 발걸음으로 반겨줘요', '따스한 그대의 품속으로', '바쁘게 달려가 힘껏 안겨볼래요', '시작될 거야 너와 내 이야기', '샤라랄 라라랄 라라랄 꽃눈이 내려요']"
15,고백하는 취한밤에 (Prod. 2soo),임재현,"['오랜만에 이렇게 밖에서 술마시니까', '니가 옆에 있는것같아', '너는 무슨 생각해', '니가 좋아하는 노래도', '길거리에 나오고', '사람들도 모두다 즐거워보이는데', '지금 당장 너에게 전화를 걸고싶지만', '아침 눈을 떴을때 후회할까봐 두려워', '아직도 왜 넌 내맘 몰라 바보야', '니가 보고싶어서 니가 생각이 나서', '하루종일 니가 내 머리속을 걸어다녀', '나 취해서 하는말 아냐', '너를 좋아해', '기분도 좀 그냥 그렇고', '골목길을 걸었어', '잠도 안오고 왠지 너를 볼것같아서', '가로등의 불빛도 나를 비춰주는데', '이 길끝에 니가 있음 얼마나좋을까', '난 이렇게 니가 너무나 보고싶은데', '넌 내가 조금도', '보고싶지 않을까 두려워', '아직도 왜 넌 내맘 몰라 바보야', '니가 보고싶어서 니가 생각이 나서', '하루종일 니가 내 머리속을 걸어다녀', '나 취해서 하는말 아냐', '나랑 사귈래', '왜 니앞에만 서면 연습했던 그말도', '잘 나오지 않는걸까', '어떻게해야 내맘 전할 수 있을까', '멋진 말도 못하고 서툰 나의 표현에', '이런 내게서 더 멀어지지 않길바래', '이것만큼은 진심이야', '너를 사랑해']"
16,드라마,아이유,"['나도 한때는 그이의 손을 잡고', '내가 온 세상 주인공이 된 듯', '꽃송이의 꽃잎 하나하나까지', '모두 날 위해 피어났지', '', '올림픽대로 뚝섬 유원지', '서촌 골목골목 예쁜 식당', '나를 휘청거리게 만든', '주옥같은 대사들', '', '다시 누군가 사랑할 수 있을까', '예쁘다는 말 들을 수 있을까', '하루 단 하루만 기회가 온다면', '죽을힘을 다해 빛나리', '', '언제부턴가 급격하게', '단조로 바뀌던 배경음악', '조명이 꺼진 세트장에', '혼자 남겨진 나는', '', '단역을 맡은 그냥 평범한 여자', '꽃도 하늘도 한강도 거짓말', '나의 드라마는 또 이렇게 끝나', '나왔는지조차 모르게', '', '끝났는지조차 모르게']"
17,내 손을 잡아,아이유,"['느낌이 오잖아', '', '떨리고 있잖아', '', '언제까지 눈치만 볼 거니', '', '네 맘을 말해봐', '', '딴청 피우지 말란 말이야', '', '네 맘 가는 그대로', '', '지금 내 손을 잡아', '', '어서 내 손을 잡아', '', '우연히 고개를 돌릴 때 마다', '', '눈이 마주치는 건', '', '며칠 밤 내내 꿈속에 나타나', '', '밤새 나를 괴롭히는 건', '', '그 많은 빈자리 중에서 하필', '', '내 옆자릴 고르는 건', '', '나도 모르게 어느새 실없는 웃음', '', '흘리고 있다는 건', '', '그럼 말 다했지 뭐', '', '우리 얘기 좀 할까', '', '느낌이 오잖아 떨리고 있잖아', '', '언제까지 눈치만 볼 거니', '', '네 맘을 말해봐', '', '딴청 피우지 말란 말이야', '', '네 맘 가는 그대로', '', '지금 내 손을 잡아', '', '핸드폰 진동에', '', '심장이 덜컥내려 앉는다는 건', '', '오 나도 모르게', '', '어느새 짓궂은 네 말투', '', '자꾸 듣고 싶은걸', '', '어떡해', '', '저기 멀리 걸어온다', '', '눈이 마주친다', '', '언제까지 넌 모른척 할거니', '', '사랑이 온거야 너와 나 말이야', '', '네가 좋아 정말 못 견딜 만큼', '', '그거면 된거야', '', '더는 생각하지 말란 말이야', '', '네 맘 가는 그대로', '', '느낌이 오잖아 떨리고 있잖아', '', '언제까지 눈치만 볼 거니', '', '네 맘을 말해봐', '', '딴청 피우지 말란 말이야', '', '네 맘 가는 그대로', '', '지금 내 손을 잡아', '', '그냥 내 손을 잡아', '', '지금 내 손을 잡아']"
18,언제나 사랑해,케이시 (Kassy),"['둘이 손잡고 걸을 때', '마주 보며 또 웃을 때', '사랑한다 말하지 않아도 알아', '널 만나러 가는 길에', '내 입가에 늘 환한 미소만이', '흐르고 있어', '사랑해 너를 사랑해', '눈물 나도록 사랑해', '저기 밤하늘의 별보다', '보석보다 네가 더 소중해', '얼마나 내가 얼마나 너를 사랑하는지', '내 모든 걸 너에게 줄게', '속상하고 힘이 들 때', '열이 나고 아파할 때', '옆에서 늘 힘이 돼준 사람 너야', '집에 돌아오는 길에', '내 귓가엔 늘 너의 음성만이', '흐르고 있어', '사랑해 너를 사랑해', '눈물 나도록 사랑해', '저기 밤하늘의 별보다', '보석보다 네가 더 소중해', '얼마나 내가 얼마나 너를 사랑하는지', '내 모든 걸 너에게 줄게', '세월 지나 많이 변했을 때', '미운 나의 손을 잡아줄 사람', '먼 훗날 아주 먼 훗날', '우리 눈 감는 그날에', '나를 사랑해 준 너에게 고맙다고', '후회는 없다고', '사랑해 나만의 사랑', '다시 태어난대도', '내 사랑은 너 하나뿐야', '영원히 너를 사랑해']"
19,바라만 본다,MSG워너비(M.O.M),"['내가 너라면 다 알아볼 텐데', '널 위할 사람 찾아낼 텐데', '지난 오랜 시간 너의 그 곁을', '지켜온 나라는 걸', '내가 너였다면 참 행복할 텐데', '한 사람을 다 가졌으니까', '둔한 바보도 눈치챌 그 사랑을', '너만 왜 모르니', '너를 바라만 바라만 본다', '외쳐 네 이름만 부른다', '보고 싶은 맘에 너를 향한 그 발걸음', '네 곁을 맴도는데', '오늘도 그리고 그리워하다', '애써 참았던 눈물이 흘러', '그저 멀리서만 바라보다', '또 소리쳐 네가 보고 싶다', '네가 나라면 더 참 아팠을 텐데', '슬픈 역할은 내가 맡을게', '웃는 모습만 보이며 살아가 줘', '내가 볼 수 있게', '너를 바라만 바라만 본다', '외쳐 네 이름만 부른다', '보고 싶은 맘에 너를 향한 그 발걸음', '네 곁을 맴도는데', '오늘도 그리고 그리워하다', '애써 참았던 눈물이 흘러', '그저 멀리서만 바라보다 또 소리쳐', '네가 보고 싶다', '한 걸음 더 다가갈까', '더 가까이 네게 갈까 OH', '어제보다 더 내일 더 널 사랑해', 'I’ll make you love me someday', '혼자 바라고 바라만 보다', '울컥 그리움이 솟는다', '바보 같은 맘에 하지 못한 그 한마디', '널 사랑한다는 말', '얼마나 그리고 그리워해야', '내 맘 너의 곁에 닿게 될까', '매일 하루 종일 너의 생각에 사무쳐', '너무 보고 싶다']"
20,사랑이야,케이시 (Kassy),"['사랑해 수많은 밤이 지나도', '환히 빛나는 저 별처럼', '변하지 않을 내 사랑이야', '사랑할 줄 알았어', '널 처음 본 그날', '운명인 것 같았어', '너와 나 둘이서', '조금씩 조금씩', '아껴둔 내 마음을', '조심스레 난 고백할래', '사랑해 수많은 밤이 지나도', '환히 빛나는 저 별처럼', '변하지 않을 내 사랑이야', '내 맘 받아주겠니', '사랑해 사랑해 난 항상', '너뿐이야 식지 않을 사랑이야', 'Always you are my love', 'Love you forever', '힘든 일이 있을 땐', '같이 울어주고', '지친 날엔 괜찮다', '손 꼭 잡아주는', '한걸음 한걸음', '다가온 너란 행운', '하루하루 매일 감사해', '사랑해 수많은 밤이 지나도', '환히 빛나는 저 별처럼', '변하지 않을 내 사랑이야', '내 맘 받아주겠니', '사랑해 사랑해 난 항상', '너뿐이야 식지 않을 사랑이야', '넌 모를 거야', '얼마나 내가', '눈물 나도록 너를', '사랑하는지', '사랑해 수많은 날이 지나도', '저기 뜨거운 태양처럼', '변하지 않을 내 사랑이야', '내 맘 모르겠니', '약속해 시간이 흘러도', '영원토록 식지 않을 사랑이야', 'Always you are my love', 'Love you forever']"
21,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"['네가 없이 웃을 수 있을까', '생각만 해도 눈물이나', '힘든 시간 날 지켜준 사람', '이제는 내가 그댈 지킬 테니', '너의 품은 항상 따뜻했어', '고단했던 나의 하루에', '유일한 휴식처', '나는 너 하나로 충분해', '긴 말 안 해도 눈빛으로 다 아니깐', '한 송이의 꽃이 피고 지는', '모든 날 모든 순간 함께해', '햇살처럼 빛나고 있었지', '나를 보는 네 눈빛은', '꿈이라고 해도 좋을 만큼', '그 모든 순간은 눈부셨다', '불안했던 나의 고된 삶에', '한줄기 빛처럼 다가와', '날 웃게 해준 너', '나는 너 하나로 충분해', '긴 말 안 해도 눈빛으로 다 아니깐', '한 송이의 꽃이 피고 지는', '모든 날 모든 순간 함께해', '알 수 없는 미래지만', '네 품속에 있는 지금 순간 순간이', '영원 했으면 해', '갈게 바람이 좋은 날에', '햇살 눈부신 어떤 날에 너에게로', '처음 내게 왔던 그날처럼', '모든 날 모든 순간 함께해']"
